,Series or Movie,IMDb Score,Awards Received,Release Date,Release Period
0,Series,7.9,74.0,2008-12-12,1990-2009
1,Movie,5.8,1.0,2020-05-08,2010-2029
2,Movie,4.3,Not Awarded,2020-08-28,2010-2029
3,Series,6.5,1.0,2016-10-01,2010-2029
4,Movie,6.3,Not Awarded,2011-09-22,2010-2029
5,Movie,7.4,Not Awarded,2020-12-03,2010-2029
6,Series,7.5,2.0,2011-06-14,2010-2029
7,Series,3.9,Not Awarded,2011-03-03,2010-2029
8,Movie,6.7,2.0,1949-10-31,1930-1949
9,Movie,6.6,Not Awarded,1985-10-04,1970-1989
10,Movie,5.5,Not Awarded,2018-11-30,2010-2029
11,Movie,6.2,Not Awarded,2007-04-27,1990-2009
12,Movie,7.6,7.0,1985-09-01,1970-1989
13,Movie,4.5,Not Awarded,2011-12-25,2010-2029
14,Movie,7.7,2.0,2011-02-07,2010-2029
15,Movie,8.4,112.0,2019-10-04,2010-2029
16,Movie,6.5,26.0,1999-05-19,1990-2009
17,Movie,8.1,46.0,2011-07-15,2010-2029
19,Movie,6.3,3.0,1985-11-08,1970-1989
21,Movie,5.4,Not Awarded,1947-11-03,1930-1949
22,Movie,5.5,Not Awarded,1989-12-25,1970-1989
23,Series,7.3,Not Awarded,2017-12-09,2010-2029
24,Movie,1.4,Not Awarded,2020-12-11,2010-2029
25,Series,7.0,Not Awarded,2015-11-16,2010-2029
26,Series,7.1,Not Awarded,2020-07-15,2010-2029
27,Movie,8.1,23.0,1996-11-02,1990-2009
28,Movie,7.0,1.0,2001-08-10,1990-2009
29,Movie,6.2,Not Awarded,1959-05-15,1950-1969
30,Movie,5.9,Not Awarded,2019-09-13,2010-2029
31,Movie,7.7,9.0,1951-11-23,1950-1969
32,Movie,7.2,10.0,2006-07-08,1990-2009
33,Movie,8.1,Not Awarded,1963-06-25,1950-1969
34,Movie,8.1,1.0,1964-10-23,1950-1969
35,Movie,5.8,Not Awarded,1964-05-15,1950-1969
36,Movie,6.9,Not Awarded,1951-04-14,1950-1969
37,Movie,7.7,9.0,1980-06-06,1970-1989
38,Movie,6.4,Not Awarded,2016-07-05,2010-2029
40,Movie,7.2,Not Awarded,2020-09-04,2010-2029
41,Movie,6.9,Not Awarded,2019-05-17,2010-2029
42,Movie,8.6,Not Awarded,2010-10-12,2010-2029
43,Movie,7.0,1.0,2019-10-04,2010-2029
44,Movie,5.9,Not Awarded,2003-09-16,1990-2009
45,Series,8.3,1.0,2019-06-24,2010-2029
46,Series,8.2,4.0,2020-01-13,2010-2029
47,Movie,7.4,9.0,1989-09-06,1970-1989
48,Movie,7.1,5.0,1975-03-26,1970-1989
49,Movie,7.5,2.0,1981-11-04,1970-1989
50,Movie,4.5,Not Awarded,2020-08-11,2010-2029
51,Movie,6.5,Not Awarded,2019-06-07,2010-2029
52,Movie,3.7,Not Awarded,2020-11-06,2010-2029
53,Series,8.0,2.0,2017-06-20,2010-2029
54,Series,6.6,1.0,1991-01-10,1990-2009
55,Movie,5.1,Not Awarded,2018-06-22,2010-2029
57,Movie,5.9,3.0,2020-09-19,2010-2029
58,Movie,6.6,10.0,2018-10-11,2010-2029
60,Movie,7.7,19.0,1980-09-19,1970-1989
61,Movie,4.8,Not Awarded,2017-03-04,2010-2029
62,Movie,7.5,5.0,2017-06-20,2010-2029
63,Movie,7.2,1.0,2019-09-06,2010-2029
64,Movie,6.7,Not Awarded,2017-09-15,2010-2029
65,Movie,8.0,34.0,2003-06-25,1990-2009
66,Movie,6.7,Not Awarded,1972-03-07,1970-1989
67,Movie,6.0,Not Awarded,2018-04-12,2010-2029
68,Movie,4.8,Not Awarded,2019-04-01,2010-2029
69,Movie,8.1,5.0,1986-08-22,1970-1989
70,Movie,5.6,Not Awarded,2020-01-14,2010-2029
71,Movie,6.3,Not Awarded,2018-04-12,2010-2029
73,Movie,6.2,1.0,2017-10-20,2010-2029
74,Movie,7.5,Not Awarded,2018-01-26,2010-2029
75,Movie,7.0,Not Awarded,2004-09-03,1990-2009
76,Movie,6.9,Not Awarded,2019-07-10,2010-2029
77,Movie,6.8,2.0,2017-04-21,2010-2029
78,Movie,6.3,2.0,2018-03-28,2010-2029
79,Movie,7.1,Not Awarded,2010-01-30,2010-2029
80,Movie,7.1,7.0,2019-06-21,2010-2029
81,Movie,6.6,3.0,2018-11-28,2010-2029
82,Movie,3.6,Not Awarded,2016-12-13,2010-2029
84,Movie,4.2,Not Awarded,2020-04-03,2010-2029
85,Movie,4.3,Not Awarded,2016-04-29,2010-2029
86,Movie,6.7,Not Awarded,1942-06-13,1930-1949
87,Movie,7.9,12.0,1999-10-05,1990-2009
88,Movie,6.3,8.0,2018-09-13,2010-2029
89,Movie,5.9,Not Awarded,2017-11-14,2010-2029
90,Movie,6.5,Not Awarded,2018-06-22,2010-2029
91,Movie,5.5,Not Awarded,2017-06-20,2010-2029
92,Movie,7.8,25.0,2018-01-12,2010-2029
93,Movie,5.7,Not Awarded,2020-02-14,2010-2029
94,Series,6.3,1.0,2020-05-31,2010-2029
95,Movie,6.0,Not Awarded,2020-08-05,2010-2029
96,Movie,6.5,4.0,2016-10-07,2010-2029
97,Movie,5.3,Not Awarded,2016-05-01,2010-2029
98,Movie,6.8,2.0,2020-02-19,2010-2029
99,Movie,7.4,2.0,2021-01-20,2010-2029
100,Movie,7.6,Not Awarded,2020-06-04,2010-2029
101,Movie,6.2,5.0,2006-03-27,1990-2009
102,Movie,8.0,Not Awarded,2012-06-22,2010-2029
103,Movie,4.7,Not Awarded,2020-05-12,2010-2029
104,Movie,6.3,2.0,2004-08-19,1990-2009
105,Series,8.5,Not Awarded,1984-11-06,1970-1989
106,Series,7.3,1.0,2017-07-09,2010-2029
107,Movie,5.5,Not Awarded,2020-11-13,2010-2029
108,Movie,6.3,3.0,2020-10-02,2010-2029
109,Movie,7.0,4.0,2010-10-15,2010-2029
110,Movie,7.0,Not Awarded,2021-02-23,2010-2029
111,Movie,6.0,1.0,2019-08-22,2010-2029
112,Series,8.2,Not Awarded,2011-10-05,2010-2029
113,Movie,7.4,3.0,2021-02-20,2010-2029
114,Series,8.4,Not Awarded,2018-01-13,2010-2029
115,Movie,7.6,4.0,2020-09-01,2010-2029
117,Movie,6.6,Not Awarded,2021-02-19,2010-2029
118,Movie,5.2,Not Awarded,2018-10-06,2010-2029
119,Movie,5.0,9.0,2020-07-28,2010-2029
120,Movie,4.8,Not Awarded,2020-10-02,2010-2029
121,Movie,5.6,Not Awarded,1932-04-13,1930-1949
122,Movie,6.6,2.0,2020-06-09,2010-2029
123,Movie,8.4,25.0,2020-11-20,2010-2029
124,Movie,6.1,2.0,2015-10-30,2010-2029
125,Series,6.9,Not Awarded,1974-10-01,1970-1989
126,Movie,7.4,4.0,2020-12-18,2010-2029
127,Series,6.2,Not Awarded,2018-05-15,2010-2029
128,Movie,3.0,Not Awarded,2019-08-06,2010-2029
129,Movie,4.2,Not Awarded,2017-11-13,2010-2029
130,Movie,5.6,Not Awarded,2018-11-03,2010-2029
131,Movie,7.0,Not Awarded,2019-04-03,2010-2029
132,Movie,7.8,1.0,1971-11-01,1970-1989
133,Movie,5.7,Not Awarded,2019-07-28,2010-2029
134,Movie,7.0,4.0,2018-11-21,2010-2029
135,Movie,7.7,54.0,2020-02-28,2010-2029
136,Movie,6.1,Not Awarded,1994-07-01,1990-2009
137,Series,7.9,Not Awarded,2016-09-02,2010-2029
138,Movie,6.9,Not Awarded,2006-04-28,1990-2009
139,Movie,6.2,Not Awarded,2009-07-03,1990-2009
140,Movie,5.7,Not Awarded,2017-04-07,2010-2029
141,Movie,6.2,6.0,2002-06-21,1990-2009
142,Movie,6.1,Not Awarded,2020-08-21,2010-2029
143,Movie,7.1,3.0,2020-07-03,2010-2029
144,Movie,6.9,2.0,1984-03-02,1970-1989
145,Movie,6.6,Not Awarded,1999-09-17,1990-2009
146,Series,5.7,1.0,2000-08-25,1990-2009
147,Movie,6.3,1.0,1997-10-10,1990-2009
148,Movie,4.2,Not Awarded,2018-05-05,2010-2029
149,Movie,6.8,2.0,1978-10-05,1970-1989
150,Movie,6.2,Not Awarded,1998-02-06,1990-2009
151,Movie,7.0,Not Awarded,2019-02-01,2010-2029
152,Movie,7.5,13.0,1990-02-01,1990-2009
153,Movie,6.5,Not Awarded,2003-02-19,1990-2009
154,Movie,6.5,3.0,1997-10-24,1990-2009
155,Movie,5.7,Not Awarded,2015-06-12,2010-2029
156,Movie,5.5,Not Awarded,2012-02-23,2010-2029
157,Movie,6.7,Not Awarded,2020-05-01,2010-2029
158,Series,8.1,3.0,2018-09-25,2010-2029
159,Series,6.7,9.0,1983-09-19,1970-1989
160,Series,5.4,Not Awarded,2005-03-18,1990-2009
161,Movie,6.0,Not Awarded,2020-02-14,2010-2029
162,Movie,4.5,Not Awarded,2019-09-20,2010-2029
163,Movie,5.9,1.0,2020-11-13,2010-2029
164,Series,7.4,1.0,2020-09-24,2010-2029
165,Movie,5.1,Not Awarded,2018-11-18,2010-2029
166,Movie,6.4,Not Awarded,2019-11-22,2010-2029
167,Series,7.1,Not Awarded,2021-02-11,2010-2029
168,Movie,7.2,Not Awarded,2019-04-03,2010-2029
169,Movie,7.7,5.0,1986-08-29,1970-1989
170,Movie,7.5,6.0,2020-01-17,2010-2029
171,Movie,5.3,Not Awarded,2020-09-29,2010-2029
172,Movie,5.4,1.0,2018-02-16,2010-2029
173,Movie,7.5,2.0,2018-11-02,2010-2029
175,Movie,7.1,3.0,1943-12-01,1930-1949
176,Movie,5.5,Not Awarded,2004-10-28,1990-2009
177,Movie,6.9,2.0,2020-12-25,2010-2029
178,Movie,6.8,Not Awarded,2016-12-01,2010-2029
179,Series,7.0,Not Awarded,2012-09-06,2010-2029
180,Movie,5.6,Not Awarded,2004-11-05,1990-2009
181,Movie,5.8,Not Awarded,2009-03-25,1990-2009
182,Movie,5.0,4.0,2008-02-01,1990-2009
183,Movie,6.4,Not Awarded,2020-05-08,2010-2029
184,Movie,6.5,9.0,2005-06-10,1990-2009
185,Movie,5.6,3.0,2014-01-30,2010-2029
186,Movie,7.1,3.0,2002-12-26,1990-2009
187,Movie,7.0,31.0,2013-05-17,2010-2029
188,Movie,4.7,Not Awarded,2015-02-19,2010-2029
189,Series,7.2,1.0,2006-10-20,1990-2009
190,Movie,6.6,Not Awarded,2021-02-05,2010-2029
191,Movie,5.1,Not Awarded,2021-02-05,2010-2029
192,Movie,7.2,9.0,1986-11-05,1970-1989
193,Movie,7.3,1.0,2020-11-06,2010-2029
